"name","country.etc","pop","lat","long","group","cycle"
"Moline IL","IL",42427,41.49,-90.49,"Union",13
"Lake Charles LA","LA",69910,30.21,-93.2,"Confederate",21
"Montclair NJ","NJ",39801,40.82,-74.21,"Union",13
"Mobile AL","AL",188467,30.68,-88.09,"Confederate",21
"Binghamton NY","NY",45070,42.1,-75.91,"Union",13
"Redan GA","GA",40141,33.74,-84.16,"Confederate",21
"Lenexa KS","KS",43935,38.96,-94.79,"Union",13
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",21
"Hamden CT","CT",60388,41.37,-72.89,"Union",13
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",21
"San Bruno CA","CA",39523,37.62,-122.43,"Union",13
"Cary NC","NC",106117,35.78,-78.8,"Confederate",21
"Augusta ME","ME",18626,44.32,-69.77,"Union",13
"Ocala FL","FL",50241,29.19,-82.13,"Confederate",21
"Oshkosh WI","WI",62967,44.02,-88.55,"Union",13
"Sterling VA","VA",56529,39.01,-77.43,"Confederate",21
"Dubuque IA","IA",57027,42.5,-90.69,"Union",13
"Hoover AL","AL",67576,33.38,-86.82,"Confederate",22
"Carmel IN","IN",49188,39.97,-86.11,"Union",13
"Wilson NC","NC",47191,35.73,-77.92,"Confederate",22
"Blaine MN","MN",56140,45.17,-93.21,"Union",13
"New Orleans LA","LA",454207,30.07,-89.93,"Confederate",22
"Cuyahoga Falls OH","OH",52223,41.17,-81.52,"Union",13
"Texas City TX","TX",44321,29.41,-94.96,"Confederate",22
"Albany OR","OR",45535,44.62,-123.09,"Union",13
"Fayetteville AR","AR",66288,36.07,-94.16,"Confederate",22
"Sterling Heights MI","MI",127027,42.58,-83.03,"Union",13
"Sterling VA","VA",56529,39.01,-77.43,"Confederate",22
"Andover MA","MA",67715,42.65,-71.14,"Union",13
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",22
"Wilkes-Barre PA","PA",40242,41.25,-75.88,"Union",13
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",22
"Pawtucket RI","RI",75297,41.87,-71.37,"Union",13
"Fort Lauderdale FL","FL",173597,26.14,-80.14,"Confederate",22
"Nashua NH","NH",87113,42.75,-71.49,"Union",13
"Columbus GA","GA",184900,32.51,-84.87,"Confederate",22
"New Rochelle NY","NY",72865,40.92,-73.78,"Union",14
"Murfreesboro TN","TN",88161,35.85,-86.39,"Confederate",22
"Evanston IL","IL",75419,42.05,-87.69,"Union",14
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",23
"Aloha OR","OR",45531,45.49,-122.87,"Union",14
"Dothan AL","AL",62449,31.24,-85.41,"Confederate",23
"Fort Wayne IN","IN",231147,41.07,-85.14,"Union",14
"Port Orange FL","FL",55891,29.11,-81.01,"Confederate",23
"Youngstown OH","OH",76590,41.1,-80.65,"Union",14
"Sterling VA","VA",56529,39.01,-77.43,"Confederate",23
"West Hartford CT","CT",67156,41.77,-72.75,"Union",14
"Rocky Mount NC","NC",56008,35.96,-77.81,"Confederate",23
"Lansing MI","MI",117236,42.71,-84.55,"Union",14
"Brownsville TX","TX",174135,25.93,-97.48,"Confederate",23
"Woonsocket RI","RI",46297,42,-71.5,"Union",14
"Southaven MS","MS",40806,34.97,-90,"Confederate",23
"Sioux City IA","IA",82863,42.5,-96.39,"Union",14
"New Orleans LA","LA",454207,30.07,-89.93,"Confederate",23
"Augusta ME","ME",18626,44.32,-69.77,"Union",14
"Columbia SC","SC",118020,34.04,-80.89,"Confederate",23
"Brentwood CA","CA",52747,37.93,-121.71,"Union",14
"Columbus GA","GA",184900,32.51,-84.87,"Confederate",23
"Oshkosh WI","WI",62967,44.02,-88.55,"Union",14
"Conway AR","AR",53297,35.09,-92.45,"Confederate",23
"Salem NH","NH",42859,42.53,-70.87,"Union",14
"Macon GA","GA",93755,32.84,-83.66,"Confederate",24
"Olathe KS","KS",118165,38.89,-94.81,"Union",14
"Greensboro NC","NC",233342,36.08,-79.83,"Confederate",24
"Scranton PA","PA",72516,41.4,-75.67,"Union",14
"Edinburg TX","TX",63193,26.3,-98.16,"Confederate",24
"Plainfield NJ","NJ",47769,40.62,-74.42,"Union",14
"Chantilly VA","VA",50103,38.88,-77.41,"Confederate",24
"Lawrence MA","MA",72669,42.7,-71.16,"Union",14
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",24
"Plymouth MN","MN",73505,45.02,-93.46,"Union",14
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",24
"Augusta ME","ME",18626,44.32,-69.77,"Union",15
"Boca Raton FL","FL",81868,26.37,-80.11,"Confederate",24
"Nashua NH","NH",87113,42.75,-71.49,"Union",15
"Birmingham AL","AL",229300,33.53,-86.8,"Confederate",24
"Scranton PA","PA",72516,41.4,-75.67,"Union",15
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",24
"Blaine MN","MN",56140,45.17,-93.21,"Union",15
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",24
"Sioux City IA","IA",82863,42.5,-96.39,"Union",15
"Springdale AR","AR",58761,36.18,-94.15,"Confederate",24
"La Crosse WI","WI",50147,43.83,-91.23,"Union",15
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",25
"Crystal Lake IL","IL",41874,42.23,-88.33,"Union",15
"Charlotte NC","NC",607111,35.2,-80.83,"Confederate",25
"Methuen MA","MA",45666,42.73,-71.19,"Union",15
"El Paso TX","TX",603545,31.85,-106.44,"Confederate",25
"Hempstead NY","NY",52769,40.7,-73.62,"Union",15
"Danville VA","VA",45382,36.58,-79.41,"Confederate",25
"Shelton CT","CT",39988,41.3,-73.14,"Union",15
"Macon GA","GA",93755,32.84,-83.66,"Confederate",25
"Orange CA","CA",134868,33.81,-117.82,"Union",15
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",25
"Gary IN","IN",96950,41.6,-87.34,"Union",15
"North Little Rock AR","AR",58771,34.79,-92.26,"Confederate",25
"Lenexa KS","KS",43935,38.96,-94.79,"Union",15
"Coconut Creek FL","FL",51848,26.28,-80.18,"Confederate",25
"Lorain OH","OH",67692,41.44,-82.18,"Union",15
"Tuscaloosa AL","AL",80164,33.24,-87.54,"Confederate",25
"Lansing MI","MI",117236,42.71,-84.55,"Union",15
"Jackson TN","TN",62552,35.63,-88.83,"Confederate",25
"Union City NJ","NJ",65939,40.77,-74.03,"Union",15
"Jackson MS","MS",175085,32.32,-90.21,"Confederate",25
"Gresham OR","OR",100674,45.5,-122.44,"Union",15
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",26
"Pawtucket RI","RI",75297,41.87,-71.37,"Union",15
"Sumter SC","SC",40018,33.94,-80.39,"Confederate",26
"Lincoln CA","CA",40805,38.89,-121.3,"Union",16
"Knoxville TN","TN",172000,35.97,-83.95,"Confederate",26
"Augusta ME","ME",18626,44.32,-69.77,"Union",16
"Atlanta GA","GA",424096,33.76,-84.42,"Confederate",26
"Lawrence MA","MA",72669,42.7,-71.16,"Union",16
"Hampton VA","VA",148201,37.05,-76.29,"Confederate",26
"Pittsburgh PA","PA",316272,40.44,-79.98,"Union",16
"Ocala FL","FL",50241,29.19,-82.13,"Confederate",26
"Hutchinson KS","KS",40386,38.07,-97.91,"Union",16
"Galveston TX","TX",56205,29.3,-94.81,"Confederate",26
"Shelton CT","CT",39988,41.3,-73.14,"Union",16
"Fayetteville AR","AR",66288,36.07,-94.16,"Confederate",26
"New Rochelle NY","NY",72865,40.92,-73.78,"Union",16
"Hoover AL","AL",67576,33.38,-86.82,"Confederate",26
"Woonsocket RI","RI",46297,42,-71.5,"Union",16
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",26
"West Des Moines IA","IA",57126,41.57,-93.75,"Union",16
"Fayetteville NC","NC",124919,35.07,-78.9,"Confederate",26
"Lakeville MN","MN",52745,44.68,-93.24,"Union",16
"El Paso TX","TX",603545,31.85,-106.44,"Confederate",27
"DeKalb IL","IL",44223,41.93,-88.75,"Union",16
"Sunrise FL","FL",92094,26.15,-80.3,"Confederate",27
"Linden NJ","NJ",39964,40.63,-74.24,"Union",16
"Mobile AL","AL",188467,30.68,-88.09,"Confederate",27
"Kokomo IN","IN",46130,40.48,-86.13,"Union",16
"Kenner LA","LA",69514,29.99,-90.25,"Confederate",27
"Janesville WI","WI",61952,42.68,-89.02,"Union",16
"Athens-Clarke GA","GA",103618,33.95,-83.39,"Confederate",27
"Pontiac MI","MI",67952,42.65,-83.29,"Union",16
"MacLean VA","VA",39731,38.94,-77.18,"Confederate",27
"Akron OH","OH",206634,41.08,-81.52,"Union",16
"Conway AR","AR",53297,35.09,-92.45,"Confederate",27
"Beaverton OR","OR",83920,45.48,-122.82,"Union",16
"Clarksville TN","TN",113379,36.56,-87.35,"Confederate",27
"Salem NH","NH",42859,42.53,-70.87,"Union",16
"Southaven MS","MS",40806,34.97,-90,"Confederate",27
